Identifier,Comments,SubTask1,SubTask2
85,Agar aapko lagta hai ki india mien ye sab zada hota hai toh plz statistics check kariye. America is worst for womens when compared to India,Pessimistic,Criticism
2692,"Shadi se pehle main free life jee rahi thi.. After marriage ab main ghr ki char diwar m bnd ho gyi hun..yha log respect se baat ni krte aapas m,bchcho ko education m koi interst ni h..ek aurat dusri aurat k piche pdi rehti h.... Jbki mere pati achchi tarh jante h mera lifestyle yha se alag h...ab mujhe bahar jane k ly ghhonghat m muh chupna pdta h..dehleez se bahar ni ja skti akela..🙄I missed those days jb main akele hi ghumne k ly nikl jati thi....khud shopping ki,jo v chej chahiye khud khareed liya.. But .ab mujhe walk krne k ly b pati sath chahihye, sar jhuka ke muh chupa kar..chlna pdta h so imbressing. Main bta ni skti kitna dukhi hota h mn Kya socha tha or kya ho gya... 🙄Very disappointed ☹️☹️",Neutral,None
6081,Go to America how they see girls even old age you know the difference or voh kehte hai nah dusro ki biwi sabko pasand ati hai toh vohi hall hai sab,Pessimistic,Criticism
985,Sir app kya hu app Ta DHAMAKA ho👏👏👏👏,Neutral,None
547,Sare point gor krne vale hai,Neutral,None
7819,bt aplogo ko unko giraftaar krwana tha esw logo ko chhodkr achcha nhi kiya di ap logo ne bt niceeee,Optimistic,Appreciation
6441,Raat k 11.12 baje koi ladki q bahar jayegi Muje ye samaj ni aata,Neutral,None
7543,Sahi me yaar laude ka capital hai isse accha to Mumbai hai.,Pessimistic,Offensive
4692,Kash...sabki mummy papa aisa hota......mere mummy papa mujhe kabhi support nehi karte hai..mera sapna ek police officer banne ka hai....par wo log kabhi mujhe police ki nokdi karne hi nehi denge😔😔😔😔😪,Neutral,None
6140,Dhruv bhai bohot khub jab se modi betha hai tab se jyada crime horaha hai,Neutral,None
9953,Indian police Kiya Bhagwan hai??? Abe neta Ko sahi chuno sab tight ho jayga,Optimistic,Suggestion
1026,3:53 apki biwi ko bolo fir skirt pehn ke urine karne ko public place mein,Neutral,None
9176,Tum log sali logoko ullu banaraha ho. Km se km kunch to rehem koro..Trp ki chokkor main desh k nam mat kharab koro.. Sb ko samaj main ata kiya hota or kiya nahi hota...chutia sb,Pessimistic,Offensive
695,Koi to hai esaa jo smjh Raha hai .....😇,Neutral,None
1217,Bhai camere me kyu nhi dekhte ho?,Neutral,None
12682,Bc help ke liye puchho to galat....bina help kiye aage badh jao to bc insaniyat nhi rhi logo me....bc hum ladke hi chutiya hai bus,Pessimistic,Offensive
5196,"Naithani tum ladke ho isliye tum nahi samajh sakte ho ladkiyon ko kitne discrimination sahna padta roj life me ,aur tum jese logo ke wajah se hi India safe nahi he ladkiyon ke liye",Pessimistic,Criticism
3898,Aap sunder thi sunder hai aur sunder rahengi you are very brave girl ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️ love you mam,Neutral,None
7541,anvith Poojary ha bro mumbai mai CCTV har jagha hai isliye mumbai ko capital hona chaiye,Neutral,None
7322,Baladkaro ka sub se bada mahaan desh hahahahahahah,Pessimistic,Criticism
1820,new generation hi nhi Pehle bhi rajput ladkio ka bahut samman karte the tumne galat padha hai,Neutral,None
8342,Jinda jala Dena chahiye esse larko Ko.,Neutral,None
11142,"👍👍👍Jo glt rules bnate h ,unki hi wajah se,koi in chakro me nhi padte 👍👍👍, Yadi hmre Desh me ase hi rules banne band ho gye h, jaise ki 👍👍👍 Koi bhi pati ya koi bhi ptni ak se jyada ke sath saririk sambandh rhka skte h....to ase me,samaj ki koi ni sunega or koi unko koi bhi dar ni rhega , chahe wo ladki ho ,ya ladka ho 👍👍 Samaj ka bahut bada yogdaan hota h, ase apradho ko rokne me ......... 👍👍👍👍",Optimistic,Suggestion
4783,Ldkiya kisi ko bhi fsva deti h ldko ko nirdosh ldko ko feminism h sali,Pessimistic,Offensive
7194,sab se zyada Canada me bharat ka apmaan hota hai Vo ungli wali ladki aur ye huh Bharat Bohot mahan hai 🇮🇳,Pessimistic,Criticism
4538,Ladki Ghar Ki Lakshmi hoti hai,Optimistic,None
12577,Ldki ka attitude bahut jyada h,Neutral,None
8597,Raat ko prostitutes khadi hoti hai Gurgaon and delhi mai. Us ladke to yeh ladki prostitute lagi hogi.,Neutral,None
11749,Jb raat ko 1 bje sunsaan sadak pr ldka safe nhi h .raat ko. Akele kya kri rha ha? Ye koi nhi puchta,Pessimistic,Criticism
12282,Itna b bura mt banaaoo patna ko apney trp k chakar mai log gaye hai reporter k pass help krney ko kuch dikha de rhey ho media walo sarm kro thora,Pessimistic,Criticism
2015,sir totally agree with the facts. but actually hmare desh me or samaj me problem mardo ke bajah se nhi.. ik aurat ke bjaha se hi..hmare samaj me ik aurat hi aurat ki dusman hai..mardo ko to jariya bnaya gya hai bs.,Pessimistic,Criticism
530,50% batay thek hay baqi views k liay youtuber kuch b kr skty hay i understand,Pessimistic,Criticism
3433,Sb society k hi khel h Mere hisab se Parents bhi satuation ko ni smjhte h Bad me koi durghatna khat gyi to Fir kuchhhh n ho skta h Ye samaj koi hm app hi hai baki koi ni Jb tk soch n bdlenge tb tk kuchh ho skta h,Pessimistic,Criticism
6921,To madam aapne uski report kyo nahi ki..🙏🙏😥😥 please us ladke ki report karna tha na... vo ladka aage rape bhi kar sakta kisi bechari garib ladki ke sath.. fir mombatti lekar aaoge..😥😥,Neutral,None
4125,Aap bhaut Sundar ho mem aapki awaj bhaut achhi hai,Neutral,None
3948,Hum ek hai ek hi rahenge.,Neutral,None
7063,Ye Sab sexworker ki wajah se he,Pessimistic,Criticism
3005,Mai Aapka bahut Badha fan hu... Love you boss,Neutral,None
591,Hindustan ke aurat duniya ke sabse jyada bevkuf hote hain unse bada murk koi nahi hota isliye india main aurat he aurat ke sabse badi dusman hote hai,Pessimistic,Offensive
12569,Iska kya gurantee h ki jo puchne aaye h wo.uska maskad kuch or ho ..help ke liye v to ho sakti h ..,Neutral,None
10638,When he said me wait karta hu then .....Kassam se maza aa gaaya,Neutral,None
11181,Aapki survey report sayad galt h kyoki bharat me aaisa koi din nhi aur aaisa koi sahar nhi jaha baltkar aur cchedchad sunne ko na mile,Neutral,None
11941,Delhi me to jabardsti utha lete,Pessimistic,Criticism
10004,Gate to khula tha yr trp K lie news bana rhe Ho kya ye koi news Nahi mile,Neutral,None
6583,Esi reality check corona k tym pe ek bar fir hona chahiye,Neutral,None
11027,"दुःखद, मुझे लगा था ऐसी घटना सिर्फ भारत जैसे देश मे ही देखने को मिलती सकती है, लेकिन अमेरिका जैसे देश मे ऐसी घटना निःशब्द, वहां के लोगो मे और हमारे लोगो मे कोई फर्क नही है।😔😔",Neutral,None
611,Bhaiya kya hi bolu🥲👍ye domestic violence to hajaro salo se chalta aa rha hai per ab ja ke dhire dhire kam ho rha hai 😂ab mujhe dar hai kahi ye ulta hi na ho jaye 👍but mai to yahi Manta hu ki pyar se jio aur Jine do 👍,Optimistic,Appreciation
7067,inko pakadkr between two legs aise mehman nawaji kare ki dubaara aisa sochne se inki rooh kaap jaye,Neutral,None
10059,Kisi ka maan jab b niklega..iska Matlab Yeh nei ki Koi rape kare.... Nikalna Uska right Bt rape krna nei... Yeh tm jaise log Isko barawa de Rahe Jo... Change ur mindset,Optimistic,Suggestion
11218,India me kya ho reha h ye beta,Neutral,None
3886,"Aapki har aik bat mai dam hai you are strong , i selute you👍👍",Neutral,None
10837,ye sab ladko ki galti hai ... i am sorry..,Neutral,None
8990,"Chiiii, ea dekh kr to Delhi ladkiya kitni surakhsitt hai bo patta chalta haii,kitni kharab mind ke log haii yahan chii",Pessimistic,Criticism
1936,Abe bhai Kahan Re Tu Dubai make India mein agar India more Tu Aake mil O Fatehpur district Bindki Fatehpur,Pessimistic,Offensive
219,mtlb freedom kya mangi..tumne bola bahar hi chalr jao. Mang nhi rhe hai sir aapse..bol rhe hain. It's not something yhat you're going to give us.,Neutral,None
6684,"aur bhai tum Gujarat ko delhi se compare bhi kyu kar rhe ho. Vo sab india ka hi hissa hai. Parr, agar tum kejriwal ko modi se compare kar rhe ho toh yaad rakhna voh IFS officer aur IIT graduate hai....",Neutral,None
9209,Ye kitne chalu log hai... Jo reporter sbse jayaada smart thi Sbse last me uski report dhikhayi.. Taki log unka reaction dekh ske,Neutral,None
10319,"Ladkiyon ko farak samajna hoga, Har ladka rapist nai hota.Agar rapist hai duniya me to protectors bhi hai",Optimistic,None
10281,"कितनी अच्छी थीम है। एक्ट भी अच्छा है। गालियों, बॉयफ्रेंड, गर्लफ्रेंड, जहरीले राजनीतिक/ जातिवादक विडियो या पोस्ट से कितना ही बेहतर है।",Neutral,None
2507,Wow sir kya explain kiya apne😊🙌,Neutral,None
7078,Aise halato se ladne ke liye ladkiyon ko training milni chahiye,Optimistic,Suggestion
7957,"Mere Pass Iska Solution Hain, Kya Aap Hume Ek Mauka Denge..",Neutral,None
5253,a Winter Caa ayy ega Nr c aay ega Yogi aayega Hindu rashtra bane nga Mul lo ko bha gae nge Phir akha nd bharat banega🚩💯,Neutral,None
5111,"Bhaiya sex ratio ghatne k peeche padhe likhe log he hain, ham jaise gaon wale kabhi abortion nhi krate.or wahi mansikta k log unke bete he bahayat nikalte hain",Neutral,None
9131,Sir hamari soch bekar hai yrr soch badlo desh badlega,Optimistic,None
2418,"Nahi, choti or ghatiya soch waale hai for sure.!!!🌸",Neutral,None
6740,Tip for girls pepper spray caam asaktiye aur knife bi koyi nahi he akela jaraheho to baal ko phate hue karke bada wala kesar lagake evil dead jesa walking karna ana to door pass bi nahi ayega i think this is can help aaj kal din me lady booto keliye badi dimande ji i mean bohot dartahe,Pessimistic,Criticism
5172,9:00 😂 Kya vo padhi likhi gavaar hi,Neutral,None
11947,Bhai abp wale puch hi toh RHA qki ek akeli ladki hai ..socha hu sayad prostitute b ho skti h isliye ya akeli ladki KR Kya RI h sab glt hi samjenge,Neutral,None
11722,Is logon ko to bhagwan hi nahi chhodenge desh wale sudarjao neto bhagwan ki mara padagi na to rota bhe nahi dena ga radhe radhe 🌺,Neutral,None
3811,Didi Aapke Baal itne pyaar kaise hai 😍😍😍,Neutral,None
4231,"Jho attacker woh insaan kaise ho sak tha . Insaan kitna bhi bura ho woh itna toh nai gir sakta ki uske mann mein acid phekhne ki khayal aajaye😈👿. Laxmi ji aap sachhme great , soo brave . Really aap bohat khoobsurat hai ❤❤",Neutral,None
676,Or phir aate hai fake feminist 😔😔😔😔,Neutral,None
1279,Female Abortion nhi hona chahiye. Nhi toh sare larke single hi mar jayenge. Waise mere shahar me toh larkiyan shaam me hi nikalti hai aur dhoop me jada nhi nikalti kale ho jane ke dar se......,Neutral,None
7353,Toh kya kiya tume media walo ne itna record kar sakte hai toh us janwaron ko kyo chode diya sab se bade bewakuf toh media wale hai,Neutral,None
5689,"Ehsan Khan Tabhi polgamy , triple talaq and nikah halala jaise women oriented programmes bnaye gye he ???",Neutral,None
388,"rape pure dunya me ho raha hai us,uk ,swedane,africa me bhi bohot zyada rape hotabhai open socity ho kar bhi .or india me jo chiz introduce ho raha hai us keliye thoda instability create ho raha hai ??is keliye india ko jocker banane ki zaroorat nehi hai ...the whole world is running behind lust so ....try to make a best world don't just insult , make fun and misguide people .anything old does not mean that's bad ...",Pessimistic,Criticism
10003,Ab banda tumse baat kare to tum log bologe itni raat me ched raha hai ... Aur agar na jae to bolenge madad nahi karne aya koi ... 🤔🤔🤔🤔,Pessimistic,Criticism
4908,"Pakistan ka number india ke baad he aata hai rape ke maamle m, aur haan, hijaab pehne ya saaree ladkiyon ke saath ye besharm log aise harkatein kar he deteinhain",Neutral,None
1755,Mane kabhi apne bete aur beti ko alag treat nahi kiya. Bete beti dono ko har kam sikhati hu,Optimistic,None
9379,Ye sale samaj Mai dhabaa hai enhe to salo Ko Hijra jar Dena cahiye enki ma bahno ke saath hota bhi hoga to en haramiyo Ko koi fark nhi padta hoga TB ye ESI Barkat karte hai enki Mata khud ense sarmsar Hoti hai,Pessimistic,Offensive
3647,Tera Allah nhi krega agar kiya hota to ye na hota,Neutral,None
10475,in ladkiyo ka yehi problem hai ki kisi ko galat samajh leti hai i respect the girl,Pessimistic,Criticism
5816,Allah aise human India me aur born krde love from aligarh 💓💓💓💓💓💓💓💓💓💗💖💖💕💕💕💕💕,Neutral,None
2024,Hum log next geneartion hai hum log isko change kr skte hai,Optimistic,None
6012,"Abu Akram hawas mitane ke liye triple talaq aur halala, aur nikah al mutaah yahi hai nabi ki sunnat aur allah ka sharia",Neutral,None
12688,Koi bhi puchega na bhai log to help ke liye hi aage aaye hai...,Optimistic,None
5698,Sab kuch bilkul achha tha...but CEO ke Solutions se agree nai karta....,Neutral,None
6838,Society ke aas pas hi aise loafer loaferi krte hai.,Neutral,None
6127,अरे हमारे अंदर ही हवस भारी हो तो क्या करे 😥😥 Abhi abhi mp me 7 sal ki ladki ke sath rep hua ladke ka naam imran hai ha par muslim age aye aur aropi imran ko fansi dene ki mang ki 😊😊 good muslim,Pessimistic,Criticism
1342,I actually cried 🥺.this is so true. Pr jo bhi ho aapne to garda jhaad diya 🔥🔥 gadar bhaiya keep it up ❤️. I support you with many others 🙏🏻.,Neutral,None
6308,Duniya daari barbad ho chuki hai insaniyat nahin Rahi ab logo me,Neutral,None
4527,Kash mere papa bhi ajj Zinda hote to mere udan se koyin dikkat nhi hoti😭,Neutral,None
8300,दिल्ली केजरीवाल की नेता ही ऐसा है तो जनता कोई pichye हटेगी,Neutral,None
8506,Tum pagal ho kya? Tum bhi ladki ho na jao maar jao,Pessimistic,Offensive
8929,ek baat ka jawab do...kya aap is baat se anjan hai ke raat k 12 bje se gine chune areas me ladkiya bahar roadside khadi hoti hai apni marzi se....kai college grlz bhi hoti hai just to earn money....to ab ye jawab do ke agar Mardo ki mansikta waisi hui hai ....to uske zimmedar kya ladkiya khud bhi nahi hain....,Pessimistic,Criticism
5583,aur sayad ye continue Hoga ...... country ka system bohhhhtttt kharab ho Chuka hai ... even education sector mai bhi ... acha college and schools bhi toh unhi logo ke isaro pe kaam karte hai jo power mai bthe hai ... actually for me no one wants to take action towards the solution bas lgjate hai in notes calculation .... so it's better to say No Solution ... only expectations aur acception . that's only choices we have 😉,Neutral,None
5230,Hahahahah sach bardasht ni hota dehli mein women's ko dal dalke rapes hote rahe ASA kahin ni duniya m hota begairtian na Bollywood ki trhan gande kpry pehnaky women's ko badnam kiya jata,Neutral,None
7461,I hardly respect for the reporter but plz itna risk na liya kare ... bahot Sharm ki baat hai ki yahi haqeeqt hai hmre samaz. ki yaha na ladki safe hai na koi ladka.,Pessimistic,Criticism
5777,bhai dhruv muze esa lagta hai kii app koo congress join karni chahie. kyu kii congress se better opposition kaa kam aap kar rahe hoo... Aur desh koo bahot jarurat hai ek aache opposition kii..,Neutral,None
5727,Aur ha chuodhary ji ne uske agle hi din mafi bhi mangi thi kabhi ye bhi bol do,Neutral,None
5307,Oo bhai Jitni jayada pollution hogi utni kam ratio hoga bhai,Neutral,None
12661,ji agar sab koi aaj ke yug me madad hi karta to aaj kal ek bhi balatkar ki ghatna na hoti,Neutral,None
9767,Sorry agar mera koi statement bura lga ho to 🙏 mera iraada kisi ki bhawnao ko thes pahuchana nhi tha,Neutral,None
1386,Hmari country mai aisa gentleman salute ur thoughts 🙏,Neutral,None
10374,"Pata nahi itni samajhdari toh nahi mujhme ki ye tay kar pau ki police aur sarkar ki isme kya galti hai, wo log Superman hain ki nahi mujhe nahi pata, wo kya kar sakte hain kya nahi mujhe nahi pata...lekin itna pata hai ki kisi ke bharose nahi baithe reh sakte chahe wo Police ho ya sarkar...sabse pehle apni aklmandi.",Pessimistic,Criticism
6006,Bhakts be like: Ye sab Nehru ki galti h,Neutral,None
6199,Gaby Shrivastava Usko TATTI nahi aati toh bhi BJP ko Gaali deta hai.😂😂,Pessimistic,Offensive
1290,Bahut hi sahi bat he Rajput Saheb .....,Neutral,None
9693,Dwarka ke upar bhi kuch banadijiye sit,Neutral,None
2361,Ghar se jayda society bigadti h,Neutral,None
884,Finally someone said it. Duniya mai isse badi koi war nhi. Patriarchy!,Neutral,None
9923,Aise Live show karahe h toh plz koi security rakho unke saath and take action against that people jo ched raha tha. Kya matlab hai aise show ka.? Sab jaante hai ye.,Pessimistic,Criticism
216,see ek ladki ne jald me kuch likh diya sab aagaye yahan are you guys so free your lives or kuch bhi karoge to shut up women,Neutral,None
599,Toh fir ldko ko bhi toh ek level tk freedom deni chahiye haina kuch bhi mat bolo,Pessimistic,Criticism
4269,Best ha yeh larki meri dua ha ap hamesha khush rahaein Ameen..,Neutral,None
3122,"kaushik Sarmah men are seen as guilty even before they are proved so not because of feminism.... feminism ki definition hai ki aurto ko equal rights do .unhe brabar ka mauka do..unhe equal duties bbi nibhane do... Unhe kam mat samjho. Isse aadmi ko conviction se kya mtlb..mtlb agar ek aurat ko pdha likha do. To aadmi ke rights chin jate hain ? ..vaah bhai vaah ! Koi cake bat rha hai kya ki sirf ek hi inswn kha skta hai. Ye manyta isliye hai kyuki humare samaj me patriarchy me ..aurto ko "" naive aur brainless"" samjha jata hai..na vo khudke faisle le skti hai..na vo unti takatwar hain....aadmi ko dominating.. aggressive aur leader kaha jata hai...aise me ye ghatia stereotypes bante hain...aur guilty before proven vali baat ajati hai.",Neutral,None
8624,Aadhi raat ko larkiyan angrezo wali dresses pehan kar nikle tu un ka rape tu hoga.Sharabiyon ko kon roke bhai.,Pessimistic,Criticism
10325,Inko sirf didi sunna hai bhad***o ko sali hutie humko rakshas smjhte hai isliye I hate girls 😂🤬🤬,Pessimistic,Offensive
7774,Pura este dehli jamna paar pur west north dehli ke har ek jaga man road or pura ring raod,Neutral,None
7842,Kisi ko invite karoge to wo party me to Aayga hi Naa Girs ka bhi Galti hota hai Tab Aisa hota hai inko Humra Gan Me Bhejo Ladki ko kaise Raha Jata Pata chalega Boyfriend ke Sathb Maza Leta Raat ke 1 Baje Tak to kya Hoga Sab Ko Gand maro 😠😠,Pessimistic,Offensive
1517,Kuch kuch gandu na unlike kiya hei,Pessimistic,Offensive
1941,Duniya ke liye nahi bass india ke liye aese log chiye 😂,Neutral,None
10952,सारे जहा से अाच्छा हिन्दुस्तान हमारा,Optimistic,Appreciation
10637,Aur ye sab banaya hai warna mujhe khud dar lagti hai 🥺bahar Jate samaye,Pessimistic,Criticism
5056,"ociopath bhai but families bhi aisi hai ki woh action lene se bhaagengi aur ulta ladki ki freedom ko hi le lengi. Ladki ka phone le lengi, unka bahar jana band kar dengi etc.",Pessimistic,Criticism
12584,Isme galat kia h..patna me sab safe h...,Optimistic,Appreciation
10363,Yaesi soch agr sb ldko ki ho jaye to sayd duniya ki sbhi ldki sef ho jaye...,Optimistic,Suggestion
4793,Ladke bahar nikalna band karde aur ladkiyo se door rahe toh rape hone band ho jayege chal nikal ghatiya aadmi,Neutral,None
505,Bhai ne UPSC ki tayyari ki hai sayad with sociology optional......,Neutral,None
4083,Aisa logo ko to jinda hee nahi rahana chahiya.😠😠😠😠😠😠😠😠😠😠,Neutral,None
5443,survey se upar bhi kuch tho hoga mere bhai.,Neutral,None
11000,India main max case nhi likhte n koi darj karata,Neutral,None
3006,abita das sab thik hoga. Bs kisi k influence me ake life decisions Mt lena. Like marriage,Neutral,None
5625,"2011 me Thompson organization or jo v he,usne india ko number 4 dangerous karar diya aur modi ne tweet 2013 ko wo v October me usi report ko dekh ke dala? Wow👏👏👏",Pessimistic,Criticism
10302,Islye sab larko ko ek² didi aur ek² bhen do,Optimistic,None
9515,"Delhi city, pakistan se bhi jyada darawni hai",Pessimistic,Criticism
715,Mera sarve kahta Hai agar women women ki humdard Rehti to na hi koi ladki Dahej ke liye jalai jaati nahi Mari jaati kisi married ladki pe sabse jyada torcher uski mother in law karti hai utna koi nahin karta,Optimistic,Suggestion
9853,Agar me waha hota to us ladke ka gand faad deta,Pessimistic,Offensive
5896,"धुव्र भाई आपकी बाते तार्किक हैं बताइये छोटे-छोटे देशो से भी गए गुजरे हैं क्या हम लोग ? छोटे देशो से मेरा आशय यह है कि ऐसे देश जो गरीब, पिछड़े तथा अविकसित हैं। ये बात सही है कि अगर सर्वे को गलत मान भी लिया जाए तो इसे तो कोई कितना भी झुठला चाहे पर झुठला नही सकता है कि भारत मे विशेषकर बीजेपी के शासन में तो महिलाओं की स्थिति बेहद खराब है। इस मुद्दे पर सभी लोगो को गंभीरता से विचार करना चाहिए फिर चाहे वो किसी भी वर्ग से आता हो। आपकी बात अंध भक्तो (चमचो) को पसंद न आएगी।",Pessimistic,Offensive
6475,News wale muje paisa nahi chahiye,Neutral,None
4787,Ye indian culture kya hota hai?Indian culture 50 baar bante bigadte rehta hai!!,Neutral,None
11685,husmita Mohanty तुम्हारे सामने अपराध होता है तो तुम कितना विरोध करती है। बकैती करते समय तो झांसी की रानी बनती हो. और मदद चाहिए लड़को की। तुम कितना मदद करती हो लड़के की। बहुत से रेप छेड़खानी के केस फर्जी होते है तब लड़को के पक्ष मे बोलती हो कभी।,Pessimistic,Criticism
7128,Isliye to meko IPS bnna hai taaki mai aise gundo ko mar sku,Optimistic,None
10095,tum jaise log aur chahiye dunia mein.tum hi asli hero ho vai,Optimistic,Appreciation
1567,"I'm 17 mujhe ghar ka khana banaana nahi ata, mere mummy papa kabhi force bhi nahi kiya he says sikh jaayegi baad mai itna kya jaroori hai par bhench#d problem toh tab aati hai bahar walo ko problem ho raha hai like everyone says abhi sikhao ladki ko khaana banana kya kabhi yahi chij ladko ki boli hai usko kuch ata hai like why tumlogki kyu jal rahi hai bc... Agar gharpe sab thik hai toh society ki jalti hai abhi isme kuch kar bhi nahi sakte",Pessimistic,Offensive
9537,Assam ULFA terrorist bhi MLA bon jata ULFA supporter state hai Bengali oko Bangladeshi bole marna Bollywood Singer pe potthor fekna Australian cricketer k bus por pothor fekna yhi hai aukat Mob lynching nhi samil hai,Pessimistic,Criticism
4986,Dear India glt nhi hey india me rehne vale kush log glt hey,Neutral,None
2424,Bruh haa aur tm jaise ldke tadte ho dusre ko ghr ke izzat ko😌,Neutral,None
4559,Asa sop ko milta nay ha jasa muja nay mela 😭😭,Neutral,None
6043,Gareeb bhai tum kb se a sb dekhne lge,Neutral,None
11356,Purani baaat hai ...aaj kal jhut bol kar v fasa reh hain,Neutral,None
6159,"druve mai koi survey etc me yakin nahi rakhata hu but ye issue aisa ki hum roz padhate hai idhar rape ho gaya, udhar gang rape ho gaya aur bum khud raat ko bahar jane se darate hai. to socho ladies ki kya halat kar di hamane is desh me . aur modi bhakto tum bhi hamare hi bhai ho jara pucho govt me kya kar rahe ,aur jaldi kuch karo ,baki bate baad me ye to sach hai hum sab janate hai.",Neutral,None
7020,"Sarkaari Machinery Rishwat or chadawe se chalti hai,aaise apradhiyon ki system me setting hoti hai",Pessimistic,Criticism
10134,Dusri reporter jo raatko 11 baje ice wale se baat karti hai tab usko dar nahi lagta kyu log kar sakte hai toh woh ice cream wala kyu nahi kar sakta or dusri baat jab char ladke car se utare use dekh rahe they toh hota hai na ladko me dekhna taadna sochte hai kaun hai yeh ladki itani raatko kya kar rahi hai n all koi aaya toh nahi na puchne baat karne oe jabki aapki team hai wahape camera hai wahape toh bhagna kyu,Pessimistic,Criticism
11116,ISTarah ka balatkar India mein bhi to hota hai,Neutral,None
6779,"Lojja kore amader. Bharat ar rajdhani Delhi. Delhi sarkar, bhar mey jay teri kanun. Ye police wale vi gunde hi hote hey, Agar acche hote, to dikha dete ki Bharat ki police world ki best police hey. Aur ek baat kahna chahta hu, suno larkiya, aap log kahte ho ki larki sakti hey, larki durga hey, to kyu larko ki madat mangte ho, Aap durga ho, durga maa ki tara raho. Agar office se ane me deri hoti hey, aur raste me asubida hoti hey, to samna karo akeli dusman se. Koi police nahi ayega, ye Bharat ki police hey. Koi nahi ayega. Akeli samna karo. Jay bharat mata ki Jai maa Kali. Jai Ramakrishna. Jai sarada maa",Optimistic,Suggestion
11094,"Apne desh me bhi to train me rape hota hai to log bhi to kuch nahi karte,yaha ke log bhi to kayar hai",Neutral,None
10190,armaan asthetic are you for real? Tum jaise log hi is desh ke liye sabse hanikark h,Neutral,None
9830,Katwa mai police bhi thi rapist kai sath. Sakai sab kai sab harami hai. O bhi 8 saal ki bachi kai rape mai.,Pessimistic,Offensive
7133,Ye since dekhte hi dar jTe he,Neutral,None
11452,India me to hua hi hai uske bare kuch kah be🙏🙏🙏🙏,Neutral,None
10901,Yahi mere sath hua sir muje kah re tara pati tuje talak de ra tu bi de de torcher kar diya,Neutral,None
7019,Didi aap wapas kyun aagayi jab usne woh sab bola aapko uspar chapal phek ke pitna chahiye tha,Neutral,None
6533,kyaa delhi ke log yahi sanskaar dete hain beto ko ?,Neutral,None
6603,आपने देश मे एक ही हल हो सकता है help ka जब एक एक जगह पर ःःःःः सी सी टी बी कैमरे लगे होने चाहिए ःःःःःःजैदा से जैदा city मे तो लगे होते है ःःःलेकिन सडक के रासते मे नही होतेःःः लेकिनःःःःः रासते मे भी कैमरे लगने चाहिए कयोकि लडकी की ईजत का सबाल क्ह,Optimistic,Suggestion
10970,"Vo sab kisi superman ya caption America , Tony tark ka wait kr rhe ho😅😂 Sry muje glt mt smjna mhila ko nyay mile😓🙏",Neutral,None
5677,Black money mein Vdo banaiye Bhai,Neutral,None
3687,Love you laxmi you are a wonder ful girl Tom bohot ocha kiayalat ke hoo tomna bohot accha massag deya ha donya balo ko,Neutral,None
1596,IMPOSETR konsi sense ki baat kr Raha. Kisi ka haq lana sense hota hai to Jo log paiso ka Lea murder krta ha o ve thik ha. Jo log terrorist ha o ve thik ha. o ve to paisa ka Lea ea sb krta ha. Apni life better krna ka Lea. Apni life better krna ka Lea kisi ka haq lana thik ha to sorry aisa sense na hona he acca. Apna sister ka property pr jiska najr ho unko or Kya bolu? We can understand,Neutral,None
4851,Kabhi to acha bolo india ke baare me... Kabhi uski bhi baate karo jo ache kaam kiye hai government ne.... Agar itna hi knowledge hai... Gov. Se bhi zyada to aa jao tum hi ban jao modi..🙄,Neutral,None
7595,Aur bhai tum reporters us bhosdiwala ko marne k siwa chod k chale gae waah,Pessimistic,Offensive
12629,Well said. But news walo ko news create karna hai na islie aisa background music suspense drama dikhata hai.,Pessimistic,Criticism
12382,Jab koi news nhi milta hai to bihar chli aati ho ma chudwane.. Bhag bhosdi ptna safe h,Pessimistic,Offensive
9417,Galati kanoon ki esa kab tak chalega goli kiyu nhi maartai ese logo ko,Optimistic,Suggestion
1949,"""Samarjya bhot jada h"" shi kha bhai😂😂😂😂😂",Neutral,None
9277,Tawheed Ali Teri bhen aur maa ko Bol raha hain??🤔🤔🤔🤔😒😒😒😒😒,Neutral,None
3416,Ggg didi aap ka face kaise jal gaya tha,Neutral,None
1938,bahut sun liya data-data ka khel ....... ab zaban ke bazaay dimag chalana hoga,Pessimistic,Criticism
10369,Agar sba aise ho jaayen to India men bhi rape case ZERO HO JAAYEN 😔pata nhi kab hoga aisa,Optimistic,None
8131,Aise raat mai road pr khade ho gai to prostitute hi lagogae..,Neutral,None
9153,Ese shows karte rahiye please..... and ese suaro ko road par hi maariye..,Optimistic,Appreciation
11670,Bihar Aurangabad madanpur thana me gang ref huya ladki swaran thi is liye Media neta chup lekin Sudhir Chaudhary aap se yeshi umid na thi thu Media par,Neutral,None
10747,Aunty keh dnege tum log ko to sunane lag jaaogi🗿🗿,Pessimistic,Criticism
10249,Pehle nahi bata sakta tha bhai bachi ka heart fail karna tha kya 😂,Neutral,None
11598,Ekdam sahi bro kya bat hai,Neutral,None
8064,Polic walo Ko sone se fursat nahi aur neta logo to paise khane se fursat mile to kuch badle na... government ka Naam badalkar kaam choor department rakh do,Pessimistic,Criticism
9571,Harami police ko waqil bana na tha. Sone aur let me farak inse koi sikhe.,Pessimistic,Criticism
